secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,68,80,0.0079,0,0,115,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
2,69,81,0.0158,0,0,119,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
3,71,86,0.024,0,0,132,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
4,75,84,0.0324,0,0,137,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
5,75,85,0.0411,29.5848,0,132,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
6,74,85,0.0498,30.168,0,130,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
7,74,86,0.0584,30.708,0,130,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
8,76,86,0.0671,31.0824,0,142,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
9,72,86,0.0758,31.2552,0,141,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
10,74,86,0.0843,31.104,0,162,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
11,75,86,0.0928,30.9744,0,167,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
12,74,87,0.1014,30.9744,0,157,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
13,75,87,0.1101,30.9672,0,166,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
14,74,88,0.1188,30.96,0,160,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
15,72,88,0.1273,30.9384,0,161,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
16,73,89,0.1356,30.8376,0,184,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
17,72,90,0.1441,30.6864,0,191,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
18,72,90,0.1525,30.492,0,198,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
19,73,91,0.1609,30.2976,0,194,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
20,73,92,0.1693,30.2688,0,199,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
21,73,93,0.1777,30.312,0,196,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
22,72,94,0.1863,30.3912,0,182,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
23,75,95,0.1948,30.4776,0,161,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
24,76,96,0.2036,30.7296,0,143,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
25,78,98,0.2125,31.0824,0,138,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
26,78,98,0.2215,31.5072,0,130,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
27,77,100,0.2305,31.8456,0,127,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
28,77,100,0.2394,32.1336,0,130,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
29,77,101,0.2484,32.256,0,129,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
30,77,102,0.2573,32.2848,0,133,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
31,78,102,0.2663,32.2776,0,134,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
32,79,103,0.2754,32.3424,0,137,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
33,79,104,0.2846,32.5008,0,133,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
34,79,105,0.2937,32.6736,0,140,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
35,82,106,0.3027,32.6448,0,103,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
36,82,107,0.311,32.1768,0,113,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
37,80,107,0.3192,31.5504,0,113,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
38,79,108,0.3275,30.8736,0,118,0,0.00000000,0.00000000,0,0,28,0,-255,0,0,0,0,0,0,0,0
39,79,109,0.3356,30.1608,0,112,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
40,79,109,0.3438,29.6064,0,112,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
41,79,109,0.3519,29.412,0,111,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
42,77,109,0.3599,29.2896,0,110,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
43,78,110,0.3679,29.1312,0,110,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
44,77,110,0.3759,28.98,0,109,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
45,76,110,0.3838,28.7928,0,109,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
46,76,110,0.3916,28.62,0,111,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
47,77,110,0.3995,28.4976,0,110,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
48,77,110,0.4074,28.44,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
49,78,110,0.4154,28.4328,0,112,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
50,78,110,0.4234,28.5408,0,115,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
51,80,110,0.4316,28.764,0,117,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
52,79,109,0.4398,28.9944,0,113,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
53,79,110,0.4479,29.1744,0,116,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
54,79,110,0.4561,29.3256,0,115,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
55,79,109,0.4643,29.4192,0,112,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
56,79,109,0.4725,29.4408,0,112,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
57,77,109,0.4805,29.3328,0,108,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
58,76,109,0.4884,29.16,0,106,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
59,79,109,0.4965,29.0736,0,119,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
60,79,109,0.5046,29.0592,0,114,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
61,79,109,0.5128,29.0448,0,118,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
62,80,109,0.521,29.1312,0,118,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
63,79,109,0.5291,29.2968,0,106,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
64,79,109,0.5372,29.3472,0,111,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
65,77,109,0.5453,29.2752,0,105,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
66,77,109,0.5533,29.1384,0,111,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
67,77,109,0.5612,28.9872,0,110,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
68,76,109,0.5692,28.8288,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
69,80,109,0.5771,28.7208,0,126,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
70,81,108,0.5852,28.692,0,88,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
71,84,108,0.5928,28.4904,0,110,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
72,83,108,0.6005,28.3104,0,104,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
73,84,108,0.6083,28.1808,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
74,83,108,0.6161,28.044,0,101,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
75,84,108,0.6238,27.8568,0,105,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
76,84,108,0.6316,27.936,0,108,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
77,84,107,0.6395,28.008,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
78,85,108,0.6473,28.0656,0,109,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
79,85,107,0.6552,28.1376,0,101,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
80,84,107,0.663,28.2312,0,106,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
81,84,107,0.6709,28.26,0,106,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
82,85,106,0.6787,28.2744,0,108,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
83,85,107,0.6866,28.3248,0,107,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
84,86,107,0.6946,28.3608,0,105,0,0.00000000,0.00000000,0,0,27,0,-255,0,0,0,0,0,0,0,0
